0.0,-1.9678
1.0,-1.9678
2.0,-1.9678
3.0,-1.9678
4.0,-1.9678
5.0,-1.9678
6.0,-1.9678
7.0,-1.9678
8.0,-1.9678
9.0,-1.9678
10.0,-1.9678
11.0,-1.9678
12.0,-1.9782
13.0,-1.9736
14.0,-1.9778
15.0,-1.9799
16.0,-1.9847
17.0,-1.9783
18.0,-1.9792
19.0,-1.9801
20.0,-1.9798
21.0,-1.9775
22.0,-1.969
23.0,-1.9831
24.0,-1.9752
25.0,-1.9815
26.0,-1.9736
27.0,-1.9824
28.0,-1.9773
29.0,-1.9793
30.0,-1.9779
31.0,-1.9801
32.0,-1.9808
33.0,-1.9785
34.0,-1.9759
35.0,-1.977
36.0,-1.9763
37.0,-1.9812
38.0,-1.9825
39.0,-1.981
40.0,-1.9781
41.0,-1.981
42.0,-1.9757
43.0,-1.9811
44.0,-1.9771
45.0,-1.9738
46.0,-1.9679
47.0,-1.9752
48.0,-1.9694
49.0,-1.9772
50.0,-1.9722
51.0,-1.9808
52.0,-1.9783
53.0,-1.9802
54.0,-1.9763
55.0,-1.9793
56.0,-1.9766
57.0,-1.976
58.0,-1.9773
59.0,-1.9815
60.0,-1.9802
61.0,-1.9782
62.0,-1.9755
63.0,-1.9744
64.0,-1.9745
65.0,-1.975
66.0,-1.9762
67.0,-1.9756
68.0,-1.9771
69.0,-1.9667
70.0,-1.9826
71.0,-1.9732
72.0,-1.979
73.0,-1.9773
74.0,-1.9755
75.0,-1.9664
76.0,-1.9814
77.0,-1.9749
78.0,-1.9787
79.0,-1.9788
80.0,-1.9787
81.0,-1.9787
82.0,-1.9778
83.0,-1.9784
84.0,-1.9737
85.0,-1.9761
86.0,-1.975
87.0,-1.9702
88.0,-1.9782
89.0,-1.9728
90.0,-1.9715
91.0,-1.9749
92.0,-1.9749
93.0,-1.97
94.0,-1.9743
95.0,-1.9739
96.0,-1.9753
97.0,-1.9636
98.0,-1.9747
99.0,-1.9732
100.0,-1.975
101.0,-1.9753
102.0,-1.9727
103.0,-1.9748
104.0,-1.9741
105.0,-1.9701
106.0,-1.9734
107.0,-1.9716
108.0,-1.9684
109.0,-1.9703
110.0,-1.9693
111.0,-1.9749
112.0,-1.9695
113.0,-1.9733
114.0,-1.9708
115.0,-1.9745
116.0,-1.9726
117.0,-1.9669
118.0,-1.9636
119.0,-1.9677
120.0,-1.9688
121.0,-1.9708
122.0,-1.9719
123.0,-1.9723
124.0,-1.97
125.0,-1.9684
126.0,-1.9774
127.0,-1.9697
128.0,-1.9695
129.0,-1.9696
130.0,-1.9673
131.0,-1.968
132.0,-1.9662
133.0,-1.967
134.0,-1.967
135.0,-1.9649
136.0,-1.9668
137.0,-1.9729
138.0,-1.9644
139.0,-1.9653
140.0,-1.9684
141.0,-1.9692
142.0,-1.9722
143.0,-1.9615
144.0,-1.9639
145.0,-1.9707
146.0,-1.964
147.0,-1.9694
148.0,-1.9658
149.0,-1.9639
150.0,-1.9703
